setting_1,setting_2,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
0.45977011494252873,0.16666666666666663,0.18373493975903443,0.4068018312622641,0.30975692099932317,1.0,0.72624798711756,0.24242424242402194,0.10975500314098952,0.3690476190476204,0.6332622601279212,0.20588235294098922,0.1996078026628112,0.3656745264785428,0.3333333333333357,0.7131782945736447,0.7304105775922025
0.6091954022988506,0.25,0.2831325301204686,0.45301940265969165,0.3526333558406485,1.0,0.628019323671495,0.2121212121210192,0.10024230458584071,0.38095238095238315,0.7654584221748308,0.2794117647058556,0.16281349984518556,0.41321994588327016,0.3333333333333357,0.6666666666666643,0.7368128044537201
0.2528735632183908,0.75,0.34337349397591765,0.36952256376716974,0.370526671168129,1.0,0.7101449275362341,0.2727272727270247,0.1400430763708158,0.25000000000000355,0.7953091684434952,0.2205882352941444,0.1717927546702427,0.3591032083494383,0.1666666666666714,0.6279069767441854,0.6263048016701447
0.5402298850574713,0.5,0.34337349397591765,0.25615870939612506,0.3311951384199858,1.0,0.7407407407407476,0.31818181818198354,0.1245176343892993,0.16666666666666785,0.8891257995735629,0.29411764705855603,0.17488904943750327,0.16737533822961126,0.3333333333333357,0.5736434108527142,0.6676409185803749
0.3908045977011494,0.3333333333333333,0.34939759036143414,0.257466753869636,0.4046252532072927,1.0,0.6682769726247955,0.24242424242402194,0.14995961590236107,0.25595238095238315,0.7462686567164241,0.23529411764684482,0.1747342346991445,0.40394279087746554,0.4166666666666714,0.5891472868217029,0.7100904662491274
0.2528735632183908,0.41666666666666663,0.2680722891566347,0.2927839546544604,0.27211343686698086,1.0,0.7761674718196474,0.18181818181801646,0.1254150587813001,0.18452380952380665,0.63752665245201,0.2205882352941444,0.16983176798431288,0.3320448395825295,0.25,0.651162790697672,0.6578983994432832
0.5574712643678161,0.5833333333333334,0.38253012048193114,0.46391977327229483,0.2619851451721793,1.0,0.7230273752012977,0.18181818181801646,0.1678183613030555,0.3035714285714306,0.7739872068230369,0.2205882352941444,0.1670967076065608,0.2802473908001559,0.3333333333333357,0.7441860465116292,0.6725121781489207
0.3045977011494253,0.75,0.40662650602408235,0.2598648354044073,0.31600270087778526,1.0,0.6441223832528209,0.1515151515150137,0.0855694157767175,0.23214285714285765,0.8059701492537386,0.2205882352941444,0.16064609350809889,0.31967529957480423,0.25,0.6434108527131777,0.5795407098121075
0.5459770114942529,0.5833333333333334,0.27409638554217963,0.434706780030524,0.21185010128291637,1.0,0.6183574879227081,0.22727272727297532,0.11096652607017887,0.26190476190476275,0.660980810234534,0.25,0.13288265042832137,0.18515655199072256,0.3333333333333357,0.7054263565891432,0.7131524008350709
0.31034482758620685,0.5833333333333334,0.15060240963856586,0.4403749727490762,0.3073936529372041,1.0,0.6022544283413964,0.22727272727297532,0.13447904514045206,0.10714285714285765,0.660980810234534,0.26470588235270043,0.1519248632469825,0.40085040587553067,0.4166666666666714,0.6279069767441854,0.8005567153792583
